cod_munibge,area plantada,area colhida,quantidade produzida,valor da producao,cod_produto
4100608,0,0,0,0,33
4100608,0,0,0,0,34
4100608,0,0,0,0,35
4100608,0,0,0,0,36
4100608,0,0,0,0,37
4100608,0,0,0,0,38
4100608,0,0,0,0,39
4100608,0,0,0,0,40
4100608,0,0,0,0,41
4100608,2174,2174,86960,69568,42
4100608,4,4,100,160,43
4100608,0,0,0,0,44
4100608,0,0,0,0,45
4100608,0,0,0,0,46
4100608,1,1,8,12,47
4100608,0,0,0,0,48
4100608,1660,1660,44820,40338,49
4100608,4,4,100,180,50
4100608,1,1,8,30,51
4100608,0,0,0,0,52
4100608,17,17,260,364,53
4100608,2,2,18,45,54
4100608,290,290,780,1020,55
4100608,0,0,0,0,56
4100608,0,0,0,0,57
4100608,0,0,0,0,58
4100608,0,0,0,0,59
4100608,0,0,0,0,60
4100608,0,0,0,0,61
4100608,0,0,0,0,62
4100608,460,460,627,1931,63
4100608,0,0,0,0,64
4100608,0,0,0,0,65
4100608,0,0,0,0,66
4100608,0,0,0,0,67
4100608,0,0,0,0,68
4100608,0,0,0,0,69
4100608,22,22,15,75,70
4100608,1,1,9,29,71
4100707,0,0,0,0,1
4100707,0,0,0,0,2
4100707,0,0,0,0,3
4100707,0,0,0,0,4
4100707,0,0,0,0,5
4100707,0,0,0,0,6
4100707,0,0,0,0,7
4100707,0,0,0,0,8
4100707,0,0,0,0,9
4100707,0,0,0,0,10
4100707,0,0,0,0,11
4100707,2,2,40,46,12
4100707,0,0,0,0,13
4100707,0,0,0,0,14
4100707,0,0,0,0,15
4100707,0,0,0,0,16
4100707,0,0,0,0,17
4100707,0,0,0,0,18
4100707,0,0,0,0,19
4100707,0,0,0,0,20
4100707,0,0,0,0,21
4100707,0,0,0,0,22
4100707,0,0,0,0,23
4100707,0,0,0,0,24
4100707,0,0,0,0,25
4100707,0,0,0,0,26
4100707,0,0,0,0,27
4100707,0,0,0,0,28
4100707,0,0,0,0,29
4100707,0,0,0,0,30
4100707,0,0,0,0,31
4100707,0,0,0,0,32
4100707,0,0,0,0,33
4100707,0,0,0,0,34
4100707,0,0,0,0,35
4100707,0,0,0,0,36
4100707,7,7,17,190,37
4100707,0,0,0,0,38
4100707,0,0,0,0,39
4100707,0,0,0,0,40
4100707,0,0,0,0,41
4100707,0,0,0,0,42
4100707,0,0,0,0,43
4100707,0,0,0,0,44
4100707,0,0,0,0,45
4100707,0,0,0,0,46
4100707,0,0,0,0,47
4100707,0,0,0,0,48
4100707,64,64,1867,2155,49
4100707,0,0,0,0,50
4100707,0,0,0,0,51
4100707,0,0,0,0,52
4100707,0,0,0,0,53
4100707,0,0,0,0,54
4100707,27500,27500,82500,107078,55
4100707,0,0,0,0,56
4100707,0,0,0,0,57
4100707,0,0,0,0,58
4100707,0,0,0,0,59
4100707,0,0,0,0,60
4100707,0,0,0,0,61
4100707,0,0,0,0,62
4100707,30000,30000,51000,154530,63
4100707,0,0,0,0,64
4100707,0,0,0,0,65
4100707,0,0,0,0,66
4100707,850,850,2125,3825,67
4100707,0,0,0,0,68
4100707,0,0,0,0,69
4100707,0,0,0,0,70
4100707,0,0,0,0,71
4100806,3,3,25,77,1
4100806,0,0,0,0,2
4100806,0,0,0,0,3
4100806,0,0,0,0,4
4100806,0,0,0,0,5
4100806,0,0,0,0,6
4100806,0,0,0,0,7
4100806,0,0,0,0,8
4100806,0,0,0,0,9
4100806,0,0,0,0,10
4100806,0,0,0,0,11
